MIN=0	0
MAX=141.42135623731	80
SCALE=141.42135623731	20
DEC=2	1
DEF="Time" t / min	"Position" s / mm
96.75	38.4
97	38.4
97.25	39
97.5	39.6
97.75	39.6
98	39.6
98.25	39.6
98.5	39.6
98.75	39.6
99	39.6
99.25	39.6
99.5	39.6
99.75	39.6
100	39
100.25	38.4
100.5	38.4
100.75	38.4
101	38.4
101.25	37.1
101.5	37.1
101.75	37.1
102	37.1
102.25	37.1
102.5	35.8
102.75	35.8
103	35.8
103.25	35.8
103.5	35.8
103.75	35.8
104	35.8
104.25	35.8
104.5	35.8
104.75	35.8
105	37.1
105.25	37.1
105.5	37.1
105.75	37.1
106	37.1
106.25	37.1
106.5	38.4
106.75	38.4
107	38.4
107.25	38.4
107.5	38.4
107.75	38.4
108	38.4
108.25	38.4
108.5	38.4
108.75	38.4
109	38.4
109.25	38.4
109.5	38.4
109.75	38.4
110	38.4
110.25	38.4
110.5	37.1
110.75	37.1
111	37.1
111.25	37.1
111.5	37.1
111.75	35.8
112	35.8
112.25	35.8
112.5	35.8
112.75	35.8
113	35.8
113.25	35.8
113.5	35.8
113.75	35.8
114	35.8
114.25	35.8
114.5	35.8
114.75	37.1
115	37.1
115.25	37.1
115.5	37.1
115.75	37.1
116	37.1
116.25	37.1
116.5	38.4
116.75	38.4
117	38.4
117.25	38.4
117.5	38.4
117.75	38.4
118	38.4
118.25	38.4
118.5	38.4
118.75	38.4
119	38.4
119.25	38.4
119.5	38.4
119.75	37.1
120	37.1
120.25	37.1
120.5	37.1
120.75	37.1
121	37.1
121.25	37.1
121.5	36.4
121.75	35.8
122	35.8
122.25	35.8
122.5	35.8
122.75	35.8
123	35.8
123.25	35.8
123.5	35.8
123.75	35.8
124	37.1
124.25	37.1
124.5	37.1
124.75	37.1
125	37.1
125.25	37.1
125.5	37.1
125.75	37.1
126	37.1
126.25	37.1
126.5	38.4
126.75	38.4
127	38.4
127.25	38.4
127.5	38.4
127.75	38.4
128	38.4
128.25	38.4
128.5	38.4
128.75	38.4
129	38.4
129.25	38.4
129.500183333333	39
