length= 642
error x = 0.1136066667
error y = 0.02
56	54.4	NAN	
56.25	54.4	NAN	
56.5	54.4	NAN	
56.75	54.4	NAN	
57	53.7	NAN	
57.25	53.7	NAN	
57.5	53.7	NAN	
57.75	53.7	NAN	
58	53.7	NAN	
58.25	52.4	NAN	
58.5	52.4	NAN	
58.75	51.8	NAN	
59	51.8	NAN	
59.25	51.8	NAN	
59.5	51.8	NAN	
59.75	51.8	NAN	
60	51.8	NAN	
60.25	51.8	NAN	
60.5	51.8	NAN	
60.75	52.4	NAN	
61	52.4	NAN	
61.25	52.4	NAN	
61.5	52.4	NAN	
61.75	52.4	NAN	
62	53.7	NAN	
62.25	53.7	NAN	
62.5	53.7	NAN	
62.75	54.4	NAN	
63	54.4	NAN	
63.25	54.4	NAN	
63.5	54.4	NAN	
63.75	54.4	NAN	
64	54.4	NAN	
64.25	54.4	NAN	
64.5	54.4	NAN	
64.75	54.4	NAN	
65	54.4	NAN	
65.25	54.4	NAN	
65.5	54.4	NAN	
65.75	54.4	NAN	
66	54.4	NAN	
66.25	54.4	NAN	
66.5	54.4	NAN	
66.75	54.4	NAN	
67	54.4	NAN	
67.25	53.7	NAN	
67.5	53.7	NAN	
67.75	53.7	NAN	
68	53.7	NAN	
68.25	53.7	NAN	
68.5	53.7	NAN	
68.75	53.7	NAN	
69	53.7	NAN	
69.25	53.7	NAN	
69.5	53.7	NAN	
69.75	53.7	NAN	
70	53.7	NAN	
70.25	53.7	NAN	
70.5	53.7	NAN	
70.75	53.7	NAN	
71	53.7	NAN	
71.25	53.7	NAN	
71.5	53.7	NAN	
71.75	53.7	NAN	
72	53.7	NAN	
72.25	53.7	NAN	
72.5	53.7	NAN	
72.75	53.7	NAN	
73	54.4	NAN	
73.25	54.4	NAN	
73.5	54.4	NAN	
73.75	54.4	NAN	
74	54.4	NAN	
74.25	54.4	NAN	
74.5	54.4	NAN	
74.75	54.4	NAN	
75	54.4	NAN	
75.25	54.4	NAN	
75.5	54.4	NAN	
75.75	54.4	NAN	
76	54.4	NAN	
76.25	54.4	NAN	
76.5	54.4	NAN	
76.75	54.4	NAN	
77	54.4	NAN	
77.25	54.4	NAN	
77.5	54.4	NAN	
77.75	53.7	NAN	
78	53.7	NAN	
78.25	53.7	NAN	
78.5	53.7	NAN	
78.75	53.7	NAN	
79	53.7	NAN	
79.25	53.7	NAN	
79.5	53.7	NAN	
79.75	53.7	NAN	
80	53.7	NAN	
80.25	53.7	NAN	
80.5	53.7	NAN	
80.75	53.7	NAN	
81	53.7	NAN	
81.25	53.7	NAN	
81.5	53.7	NAN	
81.75	53.7	NAN	
82	53.7	NAN	
82.25	53.7	NAN	
82.5	51.8	NAN	
82.75	49.2	NAN	
83	48.6	NAN	
83.25	46	NAN	
83.5	43.5	NAN	
83.75	40.9	NAN	
84	38.4	NAN	
84.25	35.8	NAN	
84.5	33.2	NAN	
84.75	30.7	NAN	
85	28.1	NAN	
85.25	25.6	NAN	
85.5	23	NAN	
85.75	21.1	NAN	
86	20.4	NAN	
86.25	18.5	NAN	
86.5	17.9	NAN	
86.75	17.9	NAN	
87	17.9	NAN	
87.25	18.5	NAN	
87.5	20.4	NAN	
87.75	21.1	NAN	
88	23	NAN	
88.25	24.3	NAN	
88.5	26.2	NAN	
88.75	28.1	NAN	
89	30.7	NAN	
89.25	33.2	NAN	
89.5	35.8	NAN	
89.75	37.1	NAN	
90	39	NAN	
90.25	41.6	NAN	
90.5	43.5	NAN	
90.75	44.1	NAN	
91	46	NAN	
91.25	46.7	NAN	
91.5	46.7	NAN	
91.75	46.7	NAN	
92	46.7	NAN	
92.25	46.7	NAN	
92.5	46.7	NAN	
92.75	46	NAN	
93	44.1	NAN	
93.25	43.5	NAN	
93.5	41.6	NAN	
93.75	40.9	NAN	
94	38.4	NAN	
94.25	37.1	NAN	
94.5	35.8	NAN	
94.75	33.2	NAN	
95	31.3	NAN	
95.25	30.7	NAN	
95.5	28.8	NAN	
95.75	28.1	NAN	
96	26.2	NAN	
96.25	25.6	NAN	
96.5	25.6	NAN	
96.75	25.6	NAN	
97	25.6	NAN	
97.25	25.6	NAN	
97.5	25.6	NAN	
97.75	25.6	NAN	
98	26.2	NAN	
98.25	28.1	NAN	
98.5	28.8	NAN	
98.75	30.7	NAN	
99	31.3	NAN	
99.25	33.2	NAN	
99.5	33.9	NAN	
99.75	35.8	NAN	
100	37.1	NAN	
100.25	38.4	NAN	
100.5	39	NAN	
100.75	40.9	NAN	
101	41.6	NAN	
101.25	42.2	NAN	
101.5	42.2	NAN	
101.75	43.5	NAN	
102	43.5	NAN	
102.25	43.5	NAN	
102.5	43.5	NAN	
102.75	43.5	NAN	
103	41.6	NAN	
103.25	40.9	NAN	
103.5	40.9	NAN	
103.75	39	NAN	
104	38.4	NAN	
104.25	37.1	NAN	
104.5	35.8	NAN	
104.75	35.8	NAN	
105	33.9	NAN	
105.25	33.2	NAN	
105.5	31.3	NAN	
105.75	30.7	NAN	
106	30.7	NAN	
106.25	30.7	NAN	
106.5	28.8	NAN	
106.75	28.8	NAN	
107	28.8	NAN	
107.25	28.8	NAN	
107.5	28.8	NAN	
107.75	28.8	NAN	
